id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
0879e863-3dfc-4309-9ad8-3001d0d5786c,Maria Clara Rodrigues,1959-10-17,119.209.396-92,24200149,Dias,PI,Brasil,M,+55 (084) 9699 5416,11920939692@exemplo.com.br,2023-07-01
3f279353-5f36-49ab-9e48-6d0a863b9256,Sophie Teixeira,1979-05-31,266.462.030-02,90966-508,Rodrigues de da Mota,SP,Brasil,M,51 8874 1454,26646203002@exemplo.com.br,2023-10-13
5d81004e-98de-40eb-9cd7-2d777f4a6255,Kevin Oliveira,1963-01-26,861.988.717-87,47536-511,Cardoso de Souza,SP,Brasil,M,41 9332-2426,86198871787@exemplo.com.br,2023-08-04
d50f8718-3006-4074-b33f-d0a2989a6f9d,Diego da Conceição,1995-10-08,877.819.756-28,49877-173,Siqueira de Gomes,RJ,Brasil,F,+55 (051) 2836 0989,87781975628@exemplo.com.br,2024-06-30
20563bf4-e988-4e29-b724-4387b0c8d090,Ísis Cunha,1954-10-16,860.622.514-04,34321197,Costela Alegre,SE,Brasil,M,41 5854 7731,86062251404@exemplo.com.br,2025-04-14
c6187b41-b44f-4b11-90ae-3bd044bfec43,Maria Isis Nogueira,1949-06-04,038.836.369-30,28146-830,Ramos das Pedras,RR,Brasil,F,0800 939 7472,03883636930@exemplo.com.br,2024-01-18
de7536dd-6324-4135-8c26-62008069d76b,Sr. Caio Garcia,1944-07-09,690.810.711-49,48446870,Cavalcante do Sul,MG,Brasil,F,(011) 2182-5217,69081071149@exemplo.com.br,2023-07-28
0e77e171-c2d4-446d-a0ef-8459fd1d83d5,Benicio Siqueira,1980-01-11,297.998.622-36,86311703,Freitas,MS,Brasil,M,+55 (021) 6191 7913,29799862236@exemplo.com.br,2024-02-18
4f319f56-7968-48f1-bdb9-05a62bd54166,Maria Vitória Marques,1987-07-27,820.041.818-40,10933353,Cunha,SC,Brasil,M,+55 (084) 6893 2523,82004181840@exemplo.com.br,2024-01-03
0a8d85b6-0f41-451e-9bd9-12aba7622c89,Thiago Rodrigues,1970-03-18,457.536.586-93,54692-156,Barbosa,AC,Brasil,F,(084) 6562-7619,45753658693@exemplo.com.br,2023-06-26
7d66d602-b200-491c-a652-c6cd464411bd,Hellena Fonseca,1968-03-15,624.258.830-99,82862-052,Marques,PB,Brasil,F,0800-853-0864,62425883099@exemplo.com.br,2025-05-12
1e596e3b-2515-4b1a-8d77-93c90a1feafb,Joana Aparecida,1959-09-12,749.559.244-32,27651-343,Mendonça,RN,Brasil,F,(084) 7262 4052,74955924432@exemplo.com.br,2023-07-01
74fced1f-fea1-4dc8-85cf-e8ae15d38d48,Clara Viana,1972-11-10,382.990.020-40,81128155,da Mata,PB,Brasil,M,84 6289 7317,38299002040@exemplo.com.br,2024-03-09
2bb18533-00b2-4c58-82e8-3144c2c6710e,Dr. Enzo Andrade,1965-09-10,290.072.103-03,64507386,Garcia de Alves,AP,Brasil,M,+55 (051) 1242-0238,29007210303@exemplo.com.br,2024-07-29
e4567a93-6cca-4a63-8611-6d0d47cd5553,Otávio Alves,1947-11-16,653.842.074-60,33140-688,Ramos,TO,Brasil,F,+55 (011) 3873 0239,65384207460@exemplo.com.br,2025-01-02
f50a3d5a-020a-4bb3-84a3-0b75c3d5b26a,Sr. João Pedro Vasconcelos,1972-07-31,182.152.483-81,42963537,Siqueira das Pedras,AM,Brasil,M,71 2062 2201,18215248381@exemplo.com.br,2023-09-18
0bb20422-a00e-4cd4-9f8f-9d9303073879,Pietro Campos,1955-08-27,832.613.619-94,85008-700,da Mata,AM,Brasil,M,61 9327-2228,83261361994@exemplo.com.br,2024-01-28
a765c741-5fcd-4ff5-8d3f-93751c02151f,Bárbara Castro,1957-03-10,738.379.243-40,36351-322,Vieira da Prata,PR,Brasil,F,+55 (061) 4781-3506,73837924340@exemplo.com.br,2024-09-26
d801e5c8-39a4-416d-a9a5-078534840eec,Luara Silva,2000-11-10,960.542.894-98,42041-362,Cavalcante da Mata,DF,Brasil,M,(061) 9261 0767,96054289498@exemplo.com.br,2024-05-14
46e819ae-61fe-4a8d-8988-6b255f42fed4,Luara Silva,1971-01-04,347.208.125-99,23745-498,Cirino de Alves,MS,Brasil,F,+55 (051) 9931-5683,34720812599@exemplo.com.br,2025-01-18
dae04359-710a-4c69-93bd-b2be8a09e532,Joaquim Siqueira,1934-06-09,814.656.125-43,18628589,Azevedo,MG,Brasil,F,61 2792-3153,81465612543@exemplo.com.br,2023-10-27
2014a564-4bc6-4d1f-b364-813f2d0bc5a4,Isaac Sampaio,2005-11-15,645.968.547-58,64602105,Farias de Nascimento,MG,Brasil,F,+55 41 4360-5647,64596854758@exemplo.com.br,2025-04-28
8e9df5cb-407c-4299-a030-08ec8b2adbef,Gabriela Rezende,1959-04-07,017.712.035-86,62243-008,Barbosa,ES,Brasil,M,(051) 5305-1528,01771203586@exemplo.com.br,2025-03-30
6b489e53-f243-49c8-a510-97a62e51d1e9,Francisco Pinto,1956-03-15,573.348.257-62,62887-763,Cassiano Alegre,DF,Brasil,F,+55 41 1334 2014,57334825762@exemplo.com.br,2024-07-22
3dd3beb8-6f30-49f7-8daa-275dc66c798a,Emilly Alves,1971-01-16,729.096.623-19,38899-442,Andrade,RR,Brasil,M,+55 31 3089-5348,72909662319@exemplo.com.br,2024-09-09
8ef8c3aa-6f45-48c8-8ea4-488b46a66397,Helena Marques,1963-11-04,704.032.671-62,90478365,Moraes,PI,Brasil,F,(081) 9119 0700,70403267162@exemplo.com.br,2024-11-13
9cf8aa8f-8e48-4e69-8175-7ff2d9c2e3a7,Juliana Alves,1983-03-24,309.781.355-88,44544152,Gomes,BA,Brasil,M,61 8890 5797,30978135588@exemplo.com.br,2024-04-22
e48ebd23-2b53-4355-843f-69d0456ce80d,Isabela das Neves,1994-07-14,629.195.973-48,00302-967,Pinto da Serra,PA,Brasil,F,0800 849 5725,62919597348@exemplo.com.br,2025-04-27
a4e74729-b56f-4413-9d18-b0dce3f96a9c,Maria Cecília Moraes,1947-06-09,343.975.685-71,72237-160,Garcia,AL,Brasil,F,(061) 2084 4276,34397568571@exemplo.com.br,2024-11-12
53b864bc-8827-4c2a-a161-a0862fc5899a,Julia Silveira,1990-12-04,729.349.826-86,40191874,Porto das Flores,PB,Brasil,M,+55 84 5100-7046,72934982686@exemplo.com.br,2023-07-10
2dafd09e-0ae4-4fbe-8b80-92d67b3643b1,Asafe Azevedo,1960-09-30,705.665.749-36,00966932,Sousa,RJ,Brasil,M,31 7799 6021,70566574936@exemplo.com.br,2024-10-19
9486b765-107f-42c8-9cc3-2a9e401e6417,Maria Laura Marques,1985-03-30,880.497.765-46,36572863,Caldeira Verde,BA,Brasil,M,0300-533-1998,88049776546@exemplo.com.br,2025-01-12
805443eb-c022-467b-a679-d6ca207cada5,Sr. José Miguel Mendonça,1964-03-18,999.546.752-23,15005716,Costa,RN,Brasil,M,51 0175 5898,99954675223@exemplo.com.br,2023-11-19
685d3875-aabe-414a-be2a-86c1ead69859,João Gabriel Souza,1976-04-04,620.487.134-86,67365539,Mendonça da Serra,AC,Brasil,F,+55 (084) 5241 0644,62048713486@exemplo.com.br,2024-06-05
e76d23fd-7dc1-44a5-86ce-208ca0ff1858,Dr. Léo Porto,1960-09-19,727.618.344-60,36692-532,Mendes,PI,Brasil,M,0900 514 4327,72761834460@exemplo.com.br,2024-06-13
f8d6645b-783c-4226-8a30-68f84ff16c8c,Josué Pires,1974-01-13,621.309.824-09,76481-795,Vargas de Moura,TO,Brasil,M,+55 81 4400-8757,62130982409@exemplo.com.br,2023-11-24
17fd7948-ae01-4147-8ce3-a64ffcf5bcff,Henrique Vargas,1942-03-03,765.191.481-10,91910-433,Nascimento Alegre,CE,Brasil,M,(051) 8324 5814,76519148110@exemplo.com.br,2024-06-14
c4ad6f37-46c8-477e-95a4-6b5045e9f39e,Emanuella Cassiano,1936-08-18,822.489.676-15,18638612,das Neves do Galho,DF,Brasil,F,0800 333 3484,82248967615@exemplo.com.br,2024-03-18
8845a1d1-f34d-4daf-b62d-3be95024b8bb,Maria Sophia Sampaio,1977-11-30,829.010.445-04,90354448,Marques de Mendes,MG,Brasil,F,(081) 0265 1879,82901044504@exemplo.com.br,2024-03-16
0fcf7432-6b40-4958-a4dc-2f6e24db2cbd,Raquel da Cunha,1971-02-24,964.807.015-60,67569143,Pimenta,RS,Brasil,F,+55 (051) 8719 1459,96480701560@exemplo.com.br,2024-09-14
b94ffa91-727e-4c75-aa0c-86eefc5e6784,Helena Gonçalves,1965-09-29,062.168.272-73,62267323,Borges,MG,Brasil,F,+55 61 5482-9591,06216827273@exemplo.com.br,2024-12-31
d1908cdd-cb24-4e7e-84a6-43bd671e8270,Dr. Asafe Moraes,1995-10-06,734.224.165-95,14679572,Borges do Amparo,GO,Brasil,M,+55 (031) 7944 1359,73422416595@exemplo.com.br,2025-03-10
e950b01a-896e-48e8-8d8e-a094c16d3c18,Mateus Cavalcante,1965-07-01,257.463.940-98,03233938,Azevedo do Amparo,MS,Brasil,F,11 6045-1772,25746394098@exemplo.com.br,2024-01-22
dbdfc528-e0b5-49df-bbce-114282f1e007,Camila Abreu,1948-11-13,259.231.952-89,33494-352,Ferreira,RR,Brasil,F,+55 (031) 6682-2274,25923195289@exemplo.com.br,2025-03-18
4d618cda-113b-41a3-aa63-cfd2095672d0,Lorenzo Pacheco,1997-08-23,407.971.267-43,06433-791,Rios,AP,Brasil,M,(041) 6383 2351,40797126743@exemplo.com.br,2024-07-04
41f5e643-5f53-4fe1-9989-836372c30f45,Daniel Silva,2006-07-19,611.956.486-78,73768-872,Cunha,ES,Brasil,F,(021) 9863-1197,61195648678@exemplo.com.br,2023-10-15
3cd40570-67e0-4108-9a23-16f746b666dd,Sophie Cavalcanti,1950-06-10,438.021.276-39,19094-743,Vasconcelos,AM,Brasil,M,31 8639-4026,43802127639@exemplo.com.br,2023-08-20
4a7b667e-bc5f-4a14-975d-12bd107fd453,Ana Sophia Rios,1994-01-19,003.092.353-55,82685465,Rodrigues,TO,Brasil,M,+55 (041) 4159 1842,00309235355@exemplo.com.br,2024-09-30
7afbb197-f074-4dac-854b-595d154a2ee2,Dr. Dom Barros,1944-06-30,632.163.216-48,24371-480,Almeida,DF,Brasil,M,+55 (051) 2427-9605,63216321648@exemplo.com.br,2023-06-05
8df3e896-400d-4e47-9399-fd4a4a54f6c5,Brenda Novais,1961-02-02,299.578.889-21,93088287,Aparecida,AP,Brasil,M,(081) 1898 8492,29957888921@exemplo.com.br,2023-07-29
228187f2-2f67-44ae-b896-c554c9930ce8,Dr. Pedro Lucas das Neves,1981-06-09,116.594.913-90,37293610,Borges,DF,Brasil,F,+55 81 0458-1038,11659491390@exemplo.com.br,2024-12-04
6aedb12f-83e1-4389-bdc8-c77dfb431869,Srta. Sophia Leão,1977-04-16,139.692.942-85,10414-006,Peixoto,RJ,Brasil,F,+55 21 9064 0622,13969294285@exemplo.com.br,2024-12-08
24272f4f-addd-43eb-8dca-a38da990ba00,Luiz Miguel Carvalho,1948-02-15,905.941.184-80,81127-152,Barros,SP,Brasil,F,(071) 0889-3785,90594118480@exemplo.com.br,2025-02-16
37ea9bd8-e3d5-47f4-a19c-f13a97842fb6,Maria Isis Costela,1936-06-30,412.006.734-96,56289-135,Câmara de da Luz,AP,Brasil,M,+55 (041) 7768-3768,41200673496@exemplo.com.br,2023-09-02
c2f5cc63-73f1-419e-8c1c-c95a62245440,Arthur Miguel Castro,1945-06-14,434.820.340-30,84992658,Fonseca das Flores,CE,Brasil,F,+55 41 7119-4824,43482034030@exemplo.com.br,2024-09-21
afb8d06c-dd59-49e0-a681-d73e649f22f2,Dra. Júlia Duarte,1993-02-03,876.256.371-42,87401276,Freitas,AL,Brasil,M,+55 11 4866-5786,87625637142@exemplo.com.br,2024-01-21
9feaae72-c8f6-4217-acf3-20921614d410,Srta. Esther Peixoto,1988-11-29,225.853.184-93,20407287,Sousa,SE,Brasil,M,(041) 0519-0408,22585318493@exemplo.com.br,2023-09-18
63e82866-d741-407c-b255-7aaa05f2ffac,Henry Gabriel das Neves,1978-03-09,553.316.348-00,58119810,da Luz Verde,MT,Brasil,M,0800-105-8894,55331634800@exemplo.com.br,2025-02-20
d54164f1-50d3-4caf-8927-9732d42847c9,Diogo Campos,1952-07-29,786.065.686-63,12921754,Santos de Nunes,AC,Brasil,F,(051) 4509-2869,78606568663@exemplo.com.br,2024-03-19
09a88b9c-b689-4305-95c3-152cd4930867,Rebeca Correia,1944-04-25,134.383.316-78,26394359,Moura,MG,Brasil,F,(051) 6641 1462,13438331678@exemplo.com.br,2025-01-22
6ccd951d-7d6b-43a9-881c-aebc0506e981,Dr. Oliver Abreu,1956-01-23,012.956.712-85,47081-630,Duarte de Sousa,CE,Brasil,F,(011) 8429-4035,01295671285@exemplo.com.br,2025-01-16
2241f379-de0a-4533-ad10-5a304688f24d,Luiz Gustavo Martins,1984-12-01,380.641.535-89,19309789,Gomes,MS,Brasil,M,(011) 2657-5129,38064153589@exemplo.com.br,2024-08-28
dc8d7dae-6c87-4141-bb96-32c834c7b7fa,Catarina Duarte,1945-01-16,812.136.610-69,90594-710,Carvalho,PE,Brasil,M,61 4164-9378,81213661069@exemplo.com.br,2023-10-11
eea4e3a7-eb31-4be9-ab02-8b23ce34a242,Gabriela Alves,1964-10-21,880.891.675-09,76177071,Cavalcante,AM,Brasil,F,+55 (051) 2989 8349,88089167509@exemplo.com.br,2025-05-04
9d3750ee-a990-4fc5-b39c-f42204313fae,Leonardo Marques,1945-05-23,250.977.249-47,06113269,da Mota de Goiás,CE,Brasil,M,81 0027 0658,25097724947@exemplo.com.br,2024-12-08
e874f00a-fdf5-4df6-8dc4-d2e3a7538777,Kaique Casa Grande,1994-09-06,948.482.035-67,08022600,Lima,RO,Brasil,F,+55 (041) 3565-0400,94848203567@exemplo.com.br,2024-02-26
d6fd3038-3264-464d-84b7-308b4155729b,Rael Aparecida,1940-06-05,145.811.003-90,79725-477,Cunha do Sul,AL,Brasil,F,+55 (011) 5427 3570,14581100390@exemplo.com.br,2024-07-16
b560d6ee-37fd-4c2a-b60c-bdae021e6fbe,Benjamin Lopes,1952-02-22,015.849.856-82,59671-854,Costa,RO,Brasil,F,0800 579 2353,01584985682@exemplo.com.br,2024-12-26
14a21f0a-b85e-4e59-8ecb-baee967d92fd,Caroline Sousa,1956-07-23,656.401.177-71,10983-670,Macedo Paulista,PR,Brasil,M,+55 (061) 0644-6902,65640117771@exemplo.com.br,2024-05-29
2c1c393c-9b19-4cb0-a749-24ae7e7ed655,Lucas Gabriel Barbosa,1943-11-07,230.730.095-21,13037665,da Paz,SP,Brasil,F,+55 (021) 1033-5356,23073009521@exemplo.com.br,2024-02-18
c323e150-e114-4b01-9102-f79f11c48eb6,Josué Cirino,1947-08-22,232.197.077-09,28362-650,Jesus,MA,Brasil,M,(071) 6278 0089,23219707709@exemplo.com.br,2024-08-02
95eeee0d-2c2f-4460-9b35-4bcfcbdf8582,João Lucas Duarte,1972-05-15,515.478.926-75,47097528,Araújo das Flores,AP,Brasil,M,(021) 5912 9782,51547892675@exemplo.com.br,2024-04-23
e9c6985e-9f51-4094-9d6d-442bed7c2f78,Manuela Freitas,1945-10-23,910.198.705-36,90180-618,Câmara,ES,Brasil,F,(061) 8708 1887,91019870536@exemplo.com.br,2023-06-22
3b86f706-1ebd-441d-8e6c-ce517e9cc478,Benjamim da Costa,1993-05-12,053.947.414-53,18142-275,Vieira,MA,Brasil,F,71 5728-9450,05394741453@exemplo.com.br,2025-04-02
0bafeec3-9178-41a7-822e-73bfda2bcd01,Bernardo Ribeiro,1995-02-10,133.126.094-95,21730155,Abreu,CE,Brasil,F,(031) 9240 5179,13312609495@exemplo.com.br,2023-10-28
d0fbc2cb-1782-4e6f-a764-05482c320ac8,Maya Rios,1964-02-23,183.842.609-75,62275829,Castro,AL,Brasil,F,+55 (081) 1416-8714,18384260975@exemplo.com.br,2023-08-16
ac9cbe60-b362-4386-b855-a939d1e5ba1a,Bento Porto,1939-10-13,418.334.225-72,34202306,Ramos,PB,Brasil,M,(061) 4739 8521,41833422572@exemplo.com.br,2024-11-14
c9fbc172-207d-4d19-b413-479b8fc7e921,Maria Flor da Rocha,1942-09-02,990.475.816-59,81402-813,Jesus de Minas,RO,Brasil,M,(031) 9782-0959,99047581659@exemplo.com.br,2024-05-03
1a1fd5a6-745d-4ae6-a7f2-ff6d7d7cbc30,José Sousa,1946-06-06,153.755.045-03,99075-989,Pires,MG,Brasil,F,21 4978 8872,15375504503@exemplo.com.br,2023-08-04
6b2578be-3ef7-4137-becf-a1c0a7bcb71c,Gustavo Henrique Oliveira,1997-09-12,968.356.677-43,52641-629,Albuquerque de Leão,RR,Brasil,M,+55 (081) 7176-5282,96835667743@exemplo.com.br,2024-03-04
34067533-ea7e-4c2a-ab5b-0d66f72fdb6e,Valentim Pastor,1962-10-08,778.396.714-87,59115-576,Siqueira,RJ,Brasil,M,+55 (021) 7121-9635,77839671487@exemplo.com.br,2023-10-13
7cf9941e-710a-4436-a939-fcd85df2f22d,Amanda Rios,1956-04-29,249.637.425-45,78662-253,Macedo,RO,Brasil,M,71 3383 9373,24963742545@exemplo.com.br,2025-02-28
845995ad-f03e-430e-9c09-1e196ae79646,Lavínia Alves,1995-11-12,344.387.965-27,30665-582,Cassiano do Norte,RR,Brasil,M,31 7192-9732,34438796527@exemplo.com.br,2023-11-19
dce3f566-354a-4205-8567-ff1bcbd761bc,Lunna Câmara,1954-04-14,486.305.233-22,11905242,Macedo,RN,Brasil,M,(031) 1273 9953,48630523322@exemplo.com.br,2023-11-26
344e9fa6-3d65-4d00-8f1c-62740a74e004,Luara Ramos,1997-03-02,436.457.521-51,04973-203,Novaes de Aragão,SE,Brasil,F,+55 (084) 9048-1439,43645752151@exemplo.com.br,2024-08-16
13ce1af8-1b3e-432f-a1f4-42197d336e54,Luana Macedo,1987-08-07,136.914.836-98,30869416,Andrade Verde,RJ,Brasil,M,11 9446-2783,13691483698@exemplo.com.br,2025-04-19
deae7bc1-dac3-4e97-a0c1-d0f5780abb33,Diogo da Mata,1988-02-23,005.458.539-93,93057533,Dias,SE,Brasil,F,31 2684-3413,00545853993@exemplo.com.br,2023-12-23
fddb1d1c-22ad-4444-b7b3-93153aeddcf9,Matheus Abreu,1954-12-08,585.173.719-46,23685651,Silveira,PA,Brasil,F,+55 41 0692-2664,58517371946@exemplo.com.br,2024-08-17
b5f9bf74-80da-46fa-ad4b-45e537b42c18,Sr. Henrique Aragão,1970-02-27,019.149.932-49,91755816,Duarte,MS,Brasil,F,+55 (071) 5072-6711,01914993249@exemplo.com.br,2024-12-28
670fc9d0-11f9-4522-b2e5-31bd03cc9e04,Luiza Pimenta,1981-08-28,957.902.412-56,58134-521,Pacheco,PA,Brasil,F,21 7772-2205,95790241256@exemplo.com.br,2025-01-17
de1e9afb-35f0-446f-8461-f900c456db0f,Lorenzo Moreira,1962-01-31,266.046.114-53,31591295,Andrade,RO,Brasil,M,41 0574 9438,26604611453@exemplo.com.br,2024-10-07
617d1b1f-2d12-42d1-a471-ffb502ead5f4,Luiz Gustavo Brito,1972-08-31,149.501.459-45,47971429,da Mota,RS,Brasil,M,(021) 3507-8315,14950145945@exemplo.com.br,2024-05-09
d6ca2f47-12cf-44bc-b559-29c319c98988,Carlos Eduardo Abreu,2003-11-21,814.970.780-61,18845389,Ramos do Campo,MT,Brasil,F,61 5815-6528,81497078061@exemplo.com.br,2023-09-21
c143c25d-1248-4352-bd70-a1bbd21bc987,Sr. Daniel Rezende,2004-05-06,932.275.149-73,52752-632,Lopes da Praia,ES,Brasil,F,11 5053 4207,93227514973@exemplo.com.br,2024-12-02
26d131d5-3eb8-48a4-8d0d-c4b688461516,Murilo das Neves,1948-08-23,591.945.692-67,13031335,Almeida,RR,Brasil,M,0500 480 2015,59194569267@exemplo.com.br,2025-02-06
ba88e049-ba72-4cbe-b6ca-2d40e31c70da,Daniel Barbosa,1997-12-31,797.159.887-40,24186943,Andrade,SP,Brasil,F,31 4840-1644,79715988740@exemplo.com.br,2025-04-24
6ce09916-deac-4559-8197-bf2eda6e6aaa,Apollo Farias,2005-12-19,873.066.843-70,00216-420,Machado,AM,Brasil,F,+55 61 7722 9157,87306684370@exemplo.com.br,2024-10-02
46610800-f5fb-4a41-826c-c659d0b6cb4f,Vitor Gabriel da Mata,1954-07-08,145.706.547-13,13254432,Fernandes do Oeste,SC,Brasil,M,41 0003 5596,14570654713@exemplo.com.br,2025-06-01
d1cff541-cf8a-4a70-9380-78dbeda25812,Maria Luiza Fernandes,1963-01-17,994.542.348-30,35061-886,da Luz de Viana,PB,Brasil,F,+55 61 4132-6037,99454234830@exemplo.com.br,2023-10-05
daa28c9b-ed81-4001-852b-0c4bb783cda6,Sr. Kevin Martins,1945-02-27,330.187.765-42,06187200,Dias do Oeste,CE,Brasil,M,+55 (021) 5219 9660,33018776542@exemplo.com.br,2025-01-17
09e160bb-806c-40af-bd20-c91a7f61d561,Sabrina Vasconcelos,1949-04-25,707.165.281-43,87335866,da Paz do Campo,AL,Brasil,F,(031) 6250-0899,70716528143@exemplo.com.br,2024-11-03
4c2448a6-0328-464c-8541-7f2e55066d7d,Vitória Rios,1972-10-01,840.977.204-55,55230674,Pacheco,AM,Brasil,M,+55 51 2761 2320,84097720455@exemplo.com.br,2024-08-18
a36813bc-0120-488a-b74c-fd63f483c771,Dom Pires,1978-01-12,858.587.919-69,14108881,Lima,RO,Brasil,M,41 7794 6748,85858791969@exemplo.com.br,2024-06-19
2d4143ed-5054-4a16-937a-1245bbd932bb,João Vitor Guerra,1941-09-16,918.279.519-29,88051-591,Casa Grande,AP,Brasil,F,+55 (051) 4125 1493,91827951929@exemplo.com.br,2025-05-24
c8c8e42b-de8a-4ffb-9b45-d5692da9cdf4,Sofia Barbosa,1982-02-23,279.344.498-25,73719654,Guerra de Minas,AP,Brasil,M,(061) 5532-4728,27934449825@exemplo.com.br,2023-11-23
8a0729d2-52c3-4fa6-834e-adc5b1cd8a73,Srta. Nina Porto,1987-07-02,671.762.725-02,24243-468,Pastor de Andrade,PR,Brasil,M,+55 61 3562 5286,67176272502@exemplo.com.br,2025-01-27
45c26feb-4c16-4e17-b277-08056f334ffd,Ravi Macedo,1958-06-05,512.281.784-14,66348514,Lima,ES,Brasil,F,+55 84 3077-5493,51228178414@exemplo.com.br,2025-01-18
f892b38a-b749-46a2-90b7-fe17f4e742a6,Paulo Duarte,1978-04-22,980.548.318-59,26116-805,Moura,PI,Brasil,M,+55 71 1480-8170,98054831859@exemplo.com.br,2024-02-06
91a49f8f-50ed-4fad-9bc0-4371d1ee5d14,João Azevedo,1954-11-22,420.870.415-29,07154718,Nogueira,MT,Brasil,M,+55 71 4153-3913,42087041529@exemplo.com.br,2025-01-15
8749fe4d-9d1f-4bec-a66b-d34bcb1c823b,Sra. Maria Liz Fogaça,1944-04-09,838.457.814-35,33077-384,Vieira,ES,Brasil,F,+55 41 2788 4272,83845781435@exemplo.com.br,2025-03-09
147d47d4-d5ae-4e45-9088-a8f326a466d5,Jade Sampaio,1941-10-03,217.154.258-89,58022-740,Casa Grande de Ferreira,CE,Brasil,F,41 6637 6215,21715425889@exemplo.com.br,2025-01-30
72ca4b40-4e41-41a4-a594-6ff2d3a12cf0,Anna Liz Camargo,2001-12-26,666.192.938-13,57730-808,da Cunha do Campo,MS,Brasil,M,(031) 9720 8886,66619293813@exemplo.com.br,2023-07-24
7720b52d-0999-4476-aacf-388bccf73ecc,Isaac Nogueira,1950-04-23,024.511.560-17,00202989,Oliveira do Campo,RS,Brasil,M,(051) 1570 3557,02451156017@exemplo.com.br,2025-01-17
545b8c1f-b892-46ed-bca8-672e5a5cebf9,Maria Flor Jesus,1936-02-01,466.526.815-77,57452-645,Barros,SE,Brasil,F,+55 81 8667 1670,46652681577@exemplo.com.br,2024-03-08
a881a174-b06b-4194-9429-c00f9b63c3c6,Yuri Fernandes,1988-08-01,760.959.784-77,00452-652,Montenegro de Barbosa,MS,Brasil,F,61 1660 0056,76095978477@exemplo.com.br,2025-01-05
93e184bb-9844-41cb-9402-90b671df2a89,Heloísa Aragão,1972-05-25,495.282.376-80,04994-602,Mendonça,BA,Brasil,M,+55 51 4427 5920,49528237680@exemplo.com.br,2025-03-10
c3b31f7c-7c60-48e0-9dd6-9391148b3708,Anthony Moraes,1992-08-06,410.901.423-02,67672514,Vieira Verde,PE,Brasil,M,(061) 6562-1368,41090142302@exemplo.com.br,2025-01-13
eea99cc9-8941-48a8-82e0-83244fdbfe57,Nathan Cavalcanti,1983-06-13,431.103.405-21,66082680,Guerra de Moura,AP,Brasil,M,0500-258-6297,43110340521@exemplo.com.br,2024-02-20
